rcrd_date,car_no,rcrd_time,lo_lgt,lo_ltt,lo_drc,r_num
2020-12-07,闽F02199D,2020-12-07 07:32:45:217,117.02441200000001,25.065237,273.950012,1
2020-12-07,闽F02199D,2020-12-07 07:32:47:080,117.02423200000001,25.065258,274.22000099999997,1
2020-12-07,闽F02199D,2020-12-07 07:32:49:171,117.02405300000001,25.065263,271.209991,1
2020-12-07,闽F02199D,2020-12-07 07:32:51:058,117.023872,25.065260000000002,271.660004,1
2020-12-07,闽F02199D,2020-12-07 07:32:53:162,117.023677,25.065251999999997,268.869995,1
2020-12-07,闽F02199D,2020-12-07 07:32:54:199,117.023568,25.065217,265.320007,1
2020-12-07,闽F02199D,2020-12-07 07:32:56:069,117.023395,25.065208,269.359985,1
2020-12-07,闽F02199D,2020-12-07 07:32:58:144,117.02323,25.065223,274.25,1
2020-12-07,闽F02199D,2020-12-07 07:33:00:060,117.02308799999999,25.065251999999997,284.75,1
2020-12-07,闽F02199D,2020-12-07 07:33:01:126,117.023025,25.065278,292.910004,1
2020-12-07,闽F02199D,2020-12-07 07:33:02:160,117.022977,25.065317999999998,309.049988,1
2020-12-07,闽F02199D,2020-12-07 07:33:03:206,117.022947,25.065368,326.839996,1
2020-12-07,闽F02199D,2020-12-07 07:33:04:031,117.02292299999999,25.065427,341.190002,1
2020-12-07,闽F02199D,2020-12-07 07:33:05:090,117.02292,25.065493,353.600006,1
2020-12-07,闽F02199D,2020-12-07 07:33:06:147,117.02292299999999,25.065565,1.81,1
2020-12-07,闽F02199D,2020-12-07 07:33:07:188,117.022948,25.06568,2.63,1
2020-12-07,闽F02199D,2020-12-07 07:33:08:024,117.022967,25.0658,3.89,1
2020-12-07,闽F02199D,2020-12-07 07:33:10:129,117.022967,25.0658,13.69,1
2020-12-07,闽F02199D,2020-12-07 07:33:21:083,117.02298200000001,25.066001999999997,8.41,1
2020-12-07,闽F02199D,2020-12-07 07:33:23:175,117.022998,25.066147,3.05,1
2020-12-07,闽F02199D,2020-12-07 07:33:25:050,117.023008,25.066238000000002,0.47,1
2020-12-07,闽F02199D,2020-12-07 07:33:26:094,117.023,25.066418,3.8,1
2020-12-07,闽F02199D,2020-12-07 07:33:27:147,117.023007,25.066508,5.47,1
2020-12-07,闽F02199D,2020-12-07 07:33:28:002,117.02303,25.066628,4.1,1
2020-12-07,闽F02199D,2020-12-07 07:33:30:079,117.02303500000001,25.066722,2.2,1
2020-12-07,闽F02199D,2020-12-07 07:33:31:114,117.02303300000001,25.066898000000002,359.359985,1
2020-12-07,闽F02199D,2020-12-07 07:33:32:162,117.02303700000002,25.06699,0.68,1
2020-12-07,闽F02199D,2020-12-07 07:33:33:198,117.02303700000002,25.067083,0.61,1
2020-12-07,闽F02199D,2020-12-07 07:33:35:104,117.02303300000001,25.067182,0.43,1
2020-12-07,闽F02199D,2020-12-07 07:33:36:150,117.023027,25.067373,357.839996,1
2020-12-07,闽F02199D,2020-12-07 07:33:37:196,117.02301200000001,25.067462,354.690002,1
2020-12-07,闽F02199D,2020-12-07 07:33:40:114,117.023005,25.067617000000002,358.399994,1
2020-12-07,闽F02199D,2020-12-07 07:33:41:167,117.02301299999999,25.067737,2.59,1
2020-12-07,闽F02199D,2020-12-07 07:33:44:090,117.02301999999999,25.067843,358.089996,1
2020-12-07,闽F02199D,2020-12-07 07:33:47:025,117.023028,25.06796,5.11,1
2020-12-07,闽F02199D,2020-12-07 07:34:21:197,117.023028,25.06796,352.459991,1
2020-12-07,闽F02199D,2020-12-07 07:34:23:100,117.023028,25.06796,347.320007,1
2020-12-07,闽F02199D,2020-12-07 07:34:24:149,117.02301200000001,25.068087,359.049988,1
2020-12-07,闽F02199D,2020-12-07 07:34:26:019,117.023025,25.068175,4.24,1
2020-12-07,闽F02199D,2020-12-07 07:34:28:110,117.02303799999999,25.06829,0.99,1
2020-12-07,闽F02199D,2020-12-07 07:34:30:024,117.023045,25.068428,358.97000099999997,1
2020-12-07,闽F02199D,2020-12-07 07:34:32:113,117.023052,25.068575,1.07,1
2020-12-07,闽F02199D,2020-12-07 07:34:34:021,117.02306200000001,25.06874,1.57,1
2020-12-07,闽F02199D,2020-12-07 07:34:36:149,117.02306200000001,25.068907,0.73,1
2020-12-07,闽F02199D,2020-12-07 07:34:38:023,117.02305700000001,25.069075,359.329987,1
2020-12-07,闽F02199D,2020-12-07 07:34:39:080,117.02306200000001,25.06917,1.49,1
2020-12-07,闽F02199D,2020-12-07 07:34:40:164,117.023063,25.069264999999998,359.950012,1
2020-12-07,闽F02199D,2020-12-07 07:34:41:004,117.02305,25.069357999999998,358.51001,1
2020-12-07,闽F02199D,2020-12-07 07:34:42:043,117.023045,25.069457,358.609985,1
2020-12-07,闽F02199D,2020-12-07 07:34:43:139,117.02304199999999,25.069554999999998,0.03,1
2020-12-07,闽F02199D,2020-12-07 07:34:44:173,117.02303799999999,25.069654999999997,1.09,1
2020-12-07,闽F02199D,2020-12-07 07:34:45:001,117.02303799999999,25.069753,1.32,1
2020-12-07,闽F02199D,2020-12-07 07:34:46:072,117.02303500000001,25.069851999999997,359.559998,1
2020-12-07,闽F02199D,2020-12-07 07:34:47:109,117.02303500000001,25.069952999999998,0.78,1
2020-12-07,闽F02199D,2020-12-07 07:34:48:161,117.02303700000002,25.070057000000002,2.68,1
2020-12-07,闽F02199D,2020-12-07 07:34:49:004,117.02303700000002,25.07016,1.87,1
2020-12-07,闽F02199D,2020-12-07 07:34:50:051,117.023032,25.070267,359.540009,1
2020-12-07,闽F02199D,2020-12-07 07:34:51:101,117.02308500000001,25.070385,359.910004,1
2020-12-07,闽F02199D,2020-12-07 07:34:52:134,117.02306200000001,25.070492,359.440002,1
2020-12-07,闽F02199D,2020-12-07 07:34:53:208,117.02306000000002,25.070595,0.24,1
2020-12-07,闽F02199D,2020-12-07 07:34:54:036,117.02305,25.070702,0.01,1
2020-12-07,闽F02199D,2020-12-07 07:34:55:069,117.023052,25.070807000000002,0.31,1
2020-12-07,闽F02199D,2020-12-07 07:34:56:103,117.023052,25.070908,0.06,1
2020-12-07,闽F02199D,2020-12-07 07:34:57:144,117.023048,25.071008,359.950012,1
2020-12-07,闽F02199D,2020-12-07 07:34:58:181,117.023048,25.071103,1.33,1
2020-12-07,闽F02199D,2020-12-07 07:34:59:007,117.02305,25.0712,2.04,1
2020-12-07,闽F02199D,2020-12-07 07:35:00:054,117.023052,25.071295000000003,1.89,1
2020-12-07,闽F02199D,2020-12-07 07:35:01:123,117.023048,25.071393,359.920013,1
2020-12-07,闽F02199D,2020-12-07 07:35:02:164,117.023048,25.071493,0.79,1
